COMPANY LIST,URL TERM
Power Corp of Canada,power-corp-of-canada
Monsanto,monsanto
Raytheon,raytheon
SSE,sse
Mitsubishi Heavy Industries,mitsubishi-heavy-industries
Chubb,chubb
Accenture,accenture
Mitsubishi Electric,mitsubishi-electric
American Electric,american-electric
HCA Holdings,hca-holdings
Standard Life,standard-life
Enbridge,enbridge
Northrop Grumman,northrop-grumman
WPP,wpp
Kraft Foods Group,kraft-foods-group
Takeda Pharmaceutical,takeda-pharmaceutical
Discover Financial Services,discover-financial-services
EDP-Energias de Portugal,edp-energias-de-portugal
Safran,safran
Volvo Group,volvo-group
Investor,investor
Sumitomo Mitsui Trust,sumitomo-mitsui-trust
Fannie Mae,fannie-mae
Samsung Life Insurance,samsung-life-insurance
Las Vegas Sands,las-vegas-sands
Baxter International,baxter-international
Michelin Group,michelin-group
Anadarko Petroleum,anadarko-petroleum
Sun Hung Kai Properties,sun-hung-kai-properties
Ameriprise Financial,ameriprise-financial
International Paper,international-paper
Gilead Sciences,gilead-sciences
Huaxia Bank,huaxia-bank
Kimberly-Clark,kimberly-clark
United Overseas Bank,united-overseas-bank
CBS,cbs
Toshiba,toshiba
KB Financial Group,kb-financial-group
Richemont,richemont
Merck,merck
Femsa,femsa
Marathon Oil,marathon-oil
Carnival,carnival
Mapfre,mapfre
Freddie Mac,freddie-mac
MTN Group,mtn-group
General Mills,general-mills
Viacom,viacom
Lafarge,lafarge
Grupo ACS,grupo-acs
Thermo Fisher Scientific,thermo-fisher-scientific
Sistema,sistema
Baker Hughes,baker-hughes
Automatic Data,automatic-data
Canadian National Railway,canadian-national-railway
Orix,orix
Talanx,talanx
TransCanada,transcanada
Lloyds Banking Group,lloyds-banking-group
Isbank,isbank
Saudi Telecom,saudi-telecom
CSX,csx
Norfolk Southern,norfolk-southern
Lincoln National,lincoln-national
Macy's,macy's
Pernod Ricard,pernod-ricard
Novo Nordisk,novo-nordisk
Cathay Financial,cathay-financial
Huaneng Power International,huaneng-power-international
Royal Ahold,royal-ahold
SunTrust Banks,suntrust-banks
NKSJ Holdings,nksj-holdings
GDF SUEZ,gdf-suez
Glencore International,glencore-international
Qatar National Bank,qatar-national-bank
Sampo,sampo
Magna International,magna-international
Komatsu,komatsu
Fubon Financial,fubon-financial
Inpex,inpex
PG&E,pg&e
Garanti Bank,garanti-bank
Illinois Tool Works,illinois-tool-works
Indian Oil,indian-oil
Mitsui Fudosan,mitsui-fudosan
Humana,humana
Fuji Heavy Industries,fuji-heavy-industries
Syngenta,syngenta
HDFC Bank,hdfc-bank
Texas Instruments,texas-instruments
Colgate-Palmolive,colgate-palmolive
NTPC,ntpc
Royal Bank of Scotland,royal-bank-of-scotland
Tencent Holdings,tencent-holdings
Swisscom,swisscom
Coal India,coal-india
Bank of Beijing,bank-of-beijing
PPL,ppl
AMP,amp
Macquarie Group,macquarie-group
Prudential Financial,prudential-financial
HeidelbergCement,heidelbergcement
UniCredit Group,unicredit-group
Suzuki Motor,suzuki-motor
Praxair,praxair
Edison International,edison-international
SK Hynix,sk-hynix
PPG Industries,ppg-industries
