URL TERMS,COMPANY NAMES,SYNOMYM 1,SYNOMYM 2,SYNOMYM 3,SYNOMYM 4
bankinter,Bankinter,,,,
skf-group,SKF Group,Skf,,,
skf,,,,,
health-care-reit,Health Care REIT,,,,
chugoku-electric-power,Chugoku Electric Power,,,,
gemdale,Gemdale,,,,
shinsei-bank,Shinsei Bank,,,,
autonation,AutoNation,,,,
otp-bank,OTP Bank,,,,
dsme,DSME,,,,
greentown-china-holdings,Greentown China Holdings,Greentown China,,,
greentown-china,,,,,
delek-group,Delek Group,Delek,,,
delek,,,,,
eisai,Eisai,,,,
misc,MISC,,,,
belle-international-holdings,Belle International Holdings,Belle International,,,
belle-international,,,,,
essar-energy,Essar Energy,Essar,,,
essar,,,,,
consol-energy,CONSOL Energy,,,,
shoprite-holdings,Shoprite Holdings,Shoprite,,,
shoprite,,,,,
oil-&-gas-development,Oil & Gas Development,Oil&Gas Development,,,
oil&gas-development,,,,,
china-cosco-holdings,China Cosco Holdings,Cosco,,,
cosco,,China Cosco,,,
china-cosco,,,,,
nikon,Nikon,,,,
masraf-al-rayan,Masraf Al Rayan,,,,
taisei,Taisei,,,,
gf-securities,GF Securities,,,,
westfield-retail-trust,Westfield Retail Trust,,,,
petrofac,Petrofac,,,,
zions-bancorp,Zions Bancorp,,,,
idbi-bank,IDBI Bank,Idbi,,,
idbi,,,,,
bbmg,BBMG,,,,
savola-group,Savola Group,Savola,,,
savola,,,,,
sun-pharma-industries,Sun Pharma Industries,Sun Pharma,,,
sun-pharma,,,,,
vornado-realty,Vornado Realty,,,,
first-financial-holding,First Financial Holding,,,,
canadian-oil-sands,Canadian Oil Sands,,,,
china-merchants-property,China Merchants Property,,,,
pirelli-&-c,Pirelli & C,Pirelli&C,,,
pirelli&c,,Pirelli,,,
pirelli,,,,,
omron,OMRON,,,,
seiko-epson,Seiko Epson,,,,
hoya,Hoya,,,,
juniper-networks,Juniper Networks,,,,
saudi-arabian-mining,Saudi Arabian Mining,,,,
metro-inc,Metro Inc,,,,
universal-health,Universal Health,,,,
givaudan,Givaudan,,,,
petronas-gas,Petronas Gas,Petronas,,,
petronas,,,,,
severstal,Severstal,,,,
regeneron-pharmaceuticals,Regeneron Pharmaceuticals,Regeneron,,,
regeneron,,,,,
pgn,PGN,,,,
nitto-denko,Nitto Denko,,,,
china-national-chemical,China National Chemical,,,,
hankook-tire,Hankook Tire,Hankook,,,
hankook,,,,,
keurig-green-mountain,Keurig Green Mountain,,,,
torchmark,Torchmark,,,,
infineon-technologies,Infineon Technologies,Infineon,,,
infineon,,,,,
aeroports-de-paris,Aeroports de Paris,,,,
orica,Orica,,,,
paychex,Paychex,,,,
kazmunaigas-exploration,KazMunaiGas Exploration,,,,
ahli-united-bank,Ahli United Bank,,,,
severn-trent,Severn Trent,,,,
inter-rao,Inter Rao,,,,
cno-financial-group,CNO Financial Group,Cno Financial,,,
cno-financial,,,,,
obayashi,Obayashi,,,,
jgc,JGC,,,,
steel-authority-of-india,Steel Authority of India,,,,
abengoa,Abengoa,,,,
zoetis,Zoetis,,,,
medipal-holdings,Medipal Holdings,Medipal,,,
medipal,,,,,
ytl,YTL,,,,
helmerich-&-payne,Helmerich & Payne,Helmerich&Payne,,,
helmerich&payne,,,,,
tcl-corp,TCL Corp,,,,
avago-technologies,Avago Technologies,Avago,,,
avago,,,,,
coca-cola-hbc,Coca-Cola HBC,Hbc,,,
hbc,,,,,
rural-electrification,Rural Electrification,,,,
evraz-group,Evraz Group,,,,
evraz,,,,,
xilinx,Xilinx,,,,
rockwell-collins,Rockwell Collins,,,,
deutsche-annington-immobilien,Deutsche Annington Immobilien,Deutsche Annington,,,
deutsche-annington,,,,,
labcorp,LabCorp,,,,
maxis,Maxis,,,,
agl-energy,AGL Energy,,,,
ternium,Ternium,,,,
family-dollar-stores,Family Dollar Stores,,,,
china-international-marine,China International Marine,,,,
aozora-bank,Aozora Bank,,,,
electrolux-group,Electrolux Group,Electrolux,,,
electrolux,,,,,
vallourec,Vallourec,,,,
coloplast,Coloplast,,,,
check-point-software,Check Point Software,,,,
protective-life,Protective Life,,,,
qantas-airways,Qantas Airways,Qantas,,,
qantas,,,,,
pvh,PVH,,,,
kajima,Kajima,,,,
calpine,Calpine,,,,
shanghai-construction,Shanghai Construction,,,,
smith-&-nephew,Smith & Nephew,Smith&Nephew,,,
smith&nephew,,,,,
csn,CSN,,,,
banco-davivienda,Banco Davivienda,,,,
portugal-telecom,Portugal Telecom,,,,
nmdc,NMDC,,,,
ccr,CCR,,,,
dr-horton,DR Horton,,,,
unicharm,Unicharm,,,,
agco,AGCO,,,,
rite-aid,Rite Aid,,,,
mohawk-industries,Mohawk Industries,,,,
uc-rusal,UC Rusal,,,,
cr-bard,CR Bard,,,,
scana,SCANA,,,,
cheng-shin-rubber-industry-co.,Cheng Shin Rubber Industry Co.,Cheng Shin Rubber,,,
cheng-shin-rubber,,,,,
manpower,Manpower,,,,
bunzl,Bunzl,,,,
toppan-printing,Toppan Printing,,,,
sekisui-chemical,Sekisui Chemical,,,,
metropolitan-bank-&-trust,Metropolitan Bank & Trust,Metropolitan Bank&Trust,,,
metropolitan-bank&trust,,,,,
jiangsu-yanghe-brewery,Jiangsu Yanghe Brewery,,,,
petro-rabigh,Petro Rabigh,,,,
ucb,UCB,,,,
innolux,Innolux,,,,
stockland-australia,Stockland Australia,,,,
travis-perkins,Travis Perkins,,,,
korean-air,Korean Air,,,,
zijin-mining-group,Zijin Mining Group,,,,
zijin-mining,,,,,
flowserve,Flowserve,,,,
axis-capital-holdings,Axis Capital Holdings,Axis Capital,,,
axis-capital,,,,,
mail.ru-group-ltd.-sponsored-gdr-regs,Mail.ru Group Ltd. Sponsored GDR RegS,Mail.Ru,,,
mail.ru,,,,,
yamaguchi-financial,Yamaguchi Financial,,,,
markel,Markel,,,,
gea-group,GEA Group,,,,
sany-heavy-industry,Sany Heavy Industry,,,,
mashreq-bank,Mashreq Bank,,,,
iliad,Iliad,,,,
commercial-bank-of-qatar,Commercial Bank of Qatar,,,,
au-optronics,AU Optronics,,,,
wuhan-iron-&-steel,Wuhan Iron & Steel,Wuhan Iron&Steel,,,
wuhan-iron&steel,,,,,
nippon-express,Nippon Express,,,,
hyundai-marine-&-fire,Hyundai Marine & Fire,Hyundai Marine&Fire,,,
hyundai-marine&fire,,,,,
talisman-energy,Talisman Energy,,,,
hellenic-telecom,Hellenic Telecom,,,,
garmin,Garmin,,,,
perrigo,Perrigo,,,,
roper-industries,Roper Industries,,,,
wyndham-worldwide,Wyndham Worldwide,,,,
community-health-sys,Community Health Sys,,,,
advance-auto-parts,Advance Auto Parts,,,,
aldar-properties,Aldar Properties,,,,
charoen-pokphand-foods,Charoen Pokphand Foods,Charoen Pokphand,,,
charoen-pokphand,,,,,
tele2,Tele2,,,,
adobe-systems,Adobe Systems,Adobe,,,
adobe,,,,,
accor,Accor,,,,
zodiac-aerospace,Zodiac Aerospace,,,,
pioneer-natural-resources,Pioneer Natural Resources,,,,
bta-bank,Bta Bank,,,,
banco-occidental,Banco Occidental,,,,
starwood-property-trust,Starwood Property Trust,,,,
gecina,Gecina,,,,
strabag,STRABAG,,,,
cerner,Cerner,,,,
united-rentals,United Rentals,,,,
st-engineering,ST Engineering,,,,
caesars-entertainment,Caesars Entertainment,,,,
lotte-chemical,Lotte Chemical,,,,
dassault-systemes,Dassault Systemes,,,,
taqa,TAQA,,,,
eqt,EQT,,,,
shimizu,Shimizu,,,,
alfresa-holdings,Alfresa Holdings,Alfresa,,,
alfresa,,,,,
ametek,Ametek,,,,
fukuoka-financial-group,Fukuoka Financial Group,Fukuoka Financial,,,
fukuoka-financial,,,,,
syndicate-bank,Syndicate Bank,,,,
level-3-communications,Level 3 Communications,,,,
remgro,Remgro,,,,
aramark,Aramark,,,,
acciona,Acciona,,,,
nomos-bank,Nomos Bank,,,,
guangdong-electric-power,Guangdong Electric Power,,,,
shanghai-pharmaceuticals,Shanghai Pharmaceuticals,,,,
itv,ITV,,,,
renesas-electronics,Renesas Electronics,,,,
crown-resorts,Crown Resorts,,,,
e-trade-financial,E-Trade Financial,,,,
tdc,TDC,,,,
olam-international,Olam International,,,,
assured-guaranty,Assured Guaranty,,,,
kla-tencor,KLA-Tencor,,,,
mitsui-chemicals,Mitsui Chemicals,,,,
netease,Netease,,,,
alfa-laval,Alfa Laval,,,,
sdic-power-holdings,SDIC Power Holdings,Sdic Power,,,
sdic-power,,,,,
shenzhen-overseas,Shenzhen Overseas,,,,
kerry-group,Kerry Group,,,,
kingdom-holding,Kingdom Holding,,,,
soho-china,SOHO China,,,,
hua-nan-financial,Hua Nan Financial,,,,
fastenal,Fastenal,,,,
sinopac-financial,SinoPac Financial,Sinopac,,,
sinopac,,,,,
china-longyuan-power,China Longyuan Power,,,,
bm&f-bovespa,BM&F Bovespa,,,,
china-merchants-holdings,China Merchants Holdings,,,,
chongqing-changan-auto,Chongqing Changan Auto,,,,
fcc,FCC,,,,
olympus,Olympus,,,,
yanzhou-coal-mining,Yanzhou Coal Mining,,,,
china-life-insurance-(taiwan),China Life Insurance (Taiwan),,,,
nxp-semiconductors,NXP Semiconductors,Nxp,,,
nxp,,,,,
sunac-china-holdings,Sunac China Holdings,Sunac China,,,
sunac-china,,,,,
interpublic-group,Interpublic Group,Interpublic,,,
interpublic,,,,,
electric-power-development,Electric Power Development,,,,
quanta-services,Quanta Services,,,,
hengan-international-group,Hengan International Group,Hengan International,,,
hengan-international,,,,,
zenith-bank,Zenith Bank,,,,
petronas-dagangan,Petronas Dagangan,,,,
bendigo-&-adelaide-bank,Bendigo & Adelaide Bank,Bendigo&Adelaide Bank,,,
bendigo&adelaide-bank,,,,,
whitbread,Whitbread,,,,
turkish-airlines,Turkish Airlines,,,,
hexagon,Hexagon,,,,
yamada-denki,Yamada Denki,,,,
old-republic-international,Old Republic International,,,,
visteon,Visteon,,,,
grifols,Grifols,,,,
x5-retail-group,X5 Retail Group,X5 Retail,,,
x5-retail,,,,,
compal-electronics,Compal Electronics,,,,
angang-steel,Angang Steel,,,,
cbre-group,CBRE Group,Cbre,,,
cbre,,,,,
sika,Sika,,,,
manila-electric,Manila Electric,,,,
shanxi-taigang-stainless,Shanxi Taigang Stainless,,,,
bajaj-auto,Bajaj Auto,,,,
scripps-networks-interactive,Scripps Networks Interactive,Scripps Networks,,,
scripps-networks,,,,,
cimarex-energy,Cimarex Energy,,,,
union-national-bank,Union National Bank,,,,
terumo,Terumo,,,,
geberit,Geberit,,,,
taiwan-mobile,Taiwan Mobile,,,,
american-water-works,American Water Works,,,,
isetan-mitsukoshi-holdings,Isetan Mitsukoshi Holdings,Isetan Mitsukoshi,,,
isetan-mitsukoshi,,,,,
wolters-kluwer,Wolters Kluwer,,,,
tenet-healthcare,Tenet Healthcare,,,,
china-hongqiao-group,China Hongqiao Group,China Hongqiao,,,
china-hongqiao,,,,,
e-l-financial,E-L Financial,,,,
sigma-aldrich,Sigma-Aldrich,,,,
petsmart,Petsmart,,,,
arca-continental,Arca Continental,,,,
newell-rubbermaid,Newell Rubbermaid,,,,
golden-agri-resources,Golden Agri-Resources,,,,
bank-of-chongqing,Bank of Chongqing,,,,
hachijuni-bank,Hachijuni Bank,,,,
jyske-bank,Jyske Bank,,,,
fbn-holdings,FBN Holdings,Fbn,,,
fbn,,,,,
nippon-paper-industries,Nippon Paper Industries,,,,
taiwan-cooperative-financial,Taiwan Cooperative Financial,,,,
salesforce.com,Salesforce.com,,,,
public-power,Public Power,,,,
kt&g,KT&G,,,,
willis-group-holdings,Willis Group Holdings,,,,
willis-group,,,,,
israel-corp,Israel Corp,,,,
actelion,Actelion,,,,
intu-properties-plc,Intu Properties plc,,,,
cosan,Cosan,,,,
foot-locker,Foot Locker,,,,
westlake-chemical,Westlake Chemical,,,,
alpiq-holding,Alpiq Holding,Alpiq,,,
alpiq,,,,,
pembina-pipeline,Pembina Pipeline,,,,
smiths-group,Smiths Group,,,,
suzuken,Suzuken,,,,
joyo-bank,Joyo Bank,,,,
rockwood-holdings,Rockwood Holdings,,,,
songbird-estates-plc,Songbird Estates plc,Songbird Estate,,,
songbird-estate,,,,,
mechel,Mechel,,,,
permanent-tsb-group,Permanent TSB Group,Permanent Tsb,,,
permanent-tsb,,,,,
darden-restaurants,Darden Restaurants,,,,
two-harbors-investment,Two Harbors Investment,,,,
embraer,Embraer,,,,
world-fuel-services,World Fuel Services,,,,
mizrahi-tefahot-bank,Mizrahi Tefahot Bank,,,,
gudang-garam,Gudang Garam,,,,
bcv-group,BCV Group,Bcv,,,
bcv,,,,,
banca-popolare-dell'emilia,Banca Popolare dell'Emilia,,,,
dongfang-electric,Dongfang Electric,,,,
sino-land,Sino Land,,,,
iss,ISS,,,,
wistron,Wistron,,,,
novozymes,Novozymes,,,,
hokuhoku-financial-group,Hokuhoku Financial Group,Hokuhoku Financial,,,
hokuhoku-financial,,,,,
chang-hwa-bank,Chang Hwa Bank,,,,
sinopec-engineering-(group),SINOPEC Engineering (Group),Sinopec Engineering,,,
sinopec-engineering,,,,,
altera,Altera,,,,
iyo-bank,Iyo Bank,,,,
chipotle-mexican-grill,Chipotle Mexican Grill,Chipotle,,,
chipotle,,,,,
lig-insurance,LIG Insurance,,,,
linear-technology,Linear Technology,,,,
china-mengniu-dairy,China Mengniu Dairy,,,,
china-merchants-securities,China Merchants Securities,,,,
lundbergs,Lundbergs,,,,
ioi-group,IOI Group,Ioi,,,
ioi,,,,,
gs-holdings,GS Holdings,Gs,,,
gs,,,,,
smurfit-kappa-group,Smurfit Kappa Group,Smurfit Kappa,,,
smurfit-kappa,,,,,
avis-budget-group,Avis Budget Group,Avis Budget,,,
avis-budget,,,,,
hikvision,Hikvision,,,,
enagas,Enagas,,,,
vestas-wind-systems,Vestas Wind Systems,Vestas,,,
vestas,,,,,
mmi-holdings,MMI Holdings,Mmi,,,
mmi,,,,,
hammerson-plc,Hammerson plc,Hammerson,,,
hammerson,,,,,
metso,Metso,,,,
jarden,Jarden,,,,
huatai-securities,Huatai Securities,,,,
kawasaki-kisen-kaisha,Kawasaki Kisen Kaisha,,,,
stmicroelectronics,STMicroelectronics,,,,
harbinger-group,Harbinger Group,,,,
j-front-retailing,J Front Retailing,J Front,,,
j-front,,,,,
porto-seguro,Porto Seguro,,,,
crescent-point-energy,Crescent Point Energy,Crescent Point,,,
crescent-point,,,,,
thai-oil,Thai Oil,,,,
weir-group,Weir Group,,,,
aberdeen-asset-management,Aberdeen Asset Management,,,,
nvidia,NVIDIA,,,,
tdk,TDK,,,,
k+s,K+S,,,,
oci,OCI,,,,
forest-laboratories,Forest Laboratories,,,,
hyosung,Hyosung,,,,
dia,DIA,,,,
nishi-nippon-city-bank,Nishi-Nippon City Bank,,,,
minmetals-development,Minmetals Development,,,,
expeditors-international,Expeditors International,,,,
hopson-development-holdings,Hopson Development Holdings,Hopson Development,,,
hopson-development,,,,,
77-bank,77 Bank,,,,
eastman-kodak,Eastman Kodak,Kodak,,,
kodak,,,,,
saudi-hollandi-bank,Saudi Hollandi Bank,Saudi Hollandi,,,
saudi-hollandi,,,,,
chugoku-bank,Chugoku Bank,,,,
north-pacific-bank,North Pacific Bank,,,,
lanxess,Lanxess,,,,
ohl-group,OHL Group,Ohl,,,
ohl,,,,,
aspen-pharmacare-holdings,Aspen Pharmacare Holdings,Aspen Pharmacare,,,
aspen-pharmacare,,,,,
alexion-pharmaceuticals,Alexion Pharmaceuticals,,,,
subsea-7,Subsea 7,,,,
airports-of-thailand,Airports of Thailand,,,,
bank-of-kyoto,Bank of Kyoto,,,,
burberry-group,Burberry Group,,,,
ezdan-holding-group,Ezdan Holding Group,Ezdan Holding,,,
ezdan-holding,,,,,
cattolica-assicurazioni,Cattolica Assicurazioni,,,,
tech-data,Tech Data,,,,
tractor-supply,Tractor Supply,,,,
hiroshima-bank,Hiroshima Bank,,,,
semen-indonesia,Semen Indonesia,,,,
tobu-railway,Tobu Railway,,,,
crown-holdings,Crown Holdings,,,,
banca-popolare-di-milano,Banca Popolare di Milano,,,,
gunma-bank,Gunma Bank,,,,
franshion-properties-(china),Franshion Properties (China),Franshion Properties,,,
franshion-properties,,,,,
cliffs-natural-resources,Cliffs Natural Resources,,,,
china-communications-services,China Communications Services,,,,
alaska-air-group,Alaska Air Group,,,,
bank-muscat,Bank Muscat,,,,
jb-hunt-transport,JB Hunt Transport,Jb Hunt,,,
jb-hunt,,,,,
nabors-industries,Nabors Industries,,,,
snc-lavalin-group,SNC-Lavalin Group,Snc Lavalin,,,
snc-lavalin,,,,,
federal-grid-of-ues,Federal Grid of UES,,,,
sk-networks,SK Networks,,,,
ncr,NCR,,,,
bank-audi,Bank Audi,,,,
central-bank-of-india,Central Bank of India,,,,
masco,Masco,,,,
bs-financial-group,BS Financial Group,Bs Financial,,,
bs-financial,,,,,
corpbanca,CorpBanca,,,,
china-national-materials,China National Materials,,,,
maanshan-iron-&-steel,Maanshan Iron & Steel,Maanshan Iron&Steel,,,
maanshan-iron&steel,,,,,
g4s,G4S,,,,
twitter,Twitter,,,,
liberbank,Liberbank,,,,
first-niagara-financial,First Niagara Financial,,,,
thomas-cook-group,Thomas Cook Group,Thomas Cook,,,
thomas-cook,,,,,
grupo-elektra,Grupo Elektra,,,,
netflix,Netflix,,,,
petrovietnam-gas,Petrovietnam Gas,,,,
sumitomo-rubber,Sumitomo Rubber,,,,
yandex-nv,Yandex NV,,,,
aareal-bank,Aareal Bank,,,,
banco-bpi,Banco BPI,,,,
china-gezhouba,China Gezhouba,,,,
jc-penney,JC Penney,,,,
aurizon-holdings,Aurizon Holdings,Aurizon,,,
aurizon,,,,,
banca-carige,Banca CARIGE,,,,
tesla-motors,Tesla Motors,Tesla,,,
tesla,,,,,
israel-discount-bank,Israel Discount Bank,,,,
a2a,A2A,,,,
blom-bank,Blom Bank,,,,
jtekt,JTEKT,,,,
e.sun-financial,E.Sun Financial,E.Sun,,,
e.sun,,,,,
almarai,Almarai,,,,
boe-technology-group,BOE Technology Group,Boe Technology,,,
boe-technology,,,,,
sl-green-realty,SL Green Realty,,,,
banrisul,Banrisul,,,,
equity-assurance,Equity Assurance,,,,
juroku-bank,Juroku Bank,,,,
ruentex-industries,Ruentex Industries,,,,
atco,Atco,,,,
salzgitter,Salzgitter,,,,
ashikaga-holdings,Ashikaga Holdings,,,,
ziggo,Ziggo,,,,
bolsas-&-mercados,Bolsas & Mercados,Bolsas&Mercados,,,
bolsas&mercados,,,,,
thanachart-capital,Thanachart Capital,,,,
brilliance-china-automotive-holdings,Brilliance China Automotive Holdings,Brilliance China Automotive,,,
brilliance-china-automotive,,Brilliance Auto,,,
brilliance-auto,,,,,
halyk-bank,Halyk Bank,,,,
arm-holdings,ARM Holdings,,,,
prosiebensat1-media,ProSiebenSat1 Media,,,,
hyundai-hysco,Hyundai Hysco,,,,
shionogi-&-co.,Shionogi & Co.,Shionogi&Co,,,
shionogi&co,,,,,
sega-sammy-holdings,Sega Sammy Holdings,Sega Sammy,,,
sega-sammy,,,,,
wabco-holdings,WABCO Holdings,Wabco,,,
wabco,,,,,
imperial-holdings,Imperial Holdings,,,,
senshu-ikeda-holdings,Senshu Ikeda Holdings,Senshu Ikeda,,,
senshu-ikeda,,,,,
hugo-boss,Hugo Boss,,,,
magnitogorsk-iron-&-steel,Magnitogorsk Iron & Steel,Magnitogorsk Iron&Steel,,,
magnitogorsk-iron&steel,,,,,
nanto-bank,Nanto Bank,,,,
asm-international-n.v.,ASM International N.V.,Asm International,,,
asm-international,,,,,
emirates-integrated-telecom,Emirates Integrated Telecom,Emirates Integrated,,,
emirates-integrated,,,,,
baywa,BayWa,,,,
affiliated-managers-group,Affiliated Managers Group,Affiliated Managers,,,
affiliated-managers,,,,,
idb-holding,IDB Holding,Idb,,,
idb,,,,,
china-agri-industries,China Agri-Industries,,,,
qatar-islamic-bank,Qatar Islamic Bank,,,,
linkedin,LinkedIn,,,,
lindt-&-sprungli,Lindt & Sprungli,Lindt&Sprungli,,,
lindt&sprungli,,,,,
pbf-energy,PBF Energy,,,,
hyakugo-bank,Hyakugo Bank,,,,
pacific-rubiales-energy,Pacific Rubiales Energy,,,,
far-eastern-new-century,Far Eastern New Century,,,,
reliance-steel,Reliance Steel,,,,
ayala,Ayala,,,,
cj-cheiljedang,CJ Cheiljedang,,,,
polyus-gold-international,Polyus Gold International,,,,
pinnacle-west,Pinnacle West,,,,
bok-financial,BOK Financial,,,,
hudson-city-bancorp,Hudson City Bancorp,,,,
guaranty-trust-bank,Guaranty Trust Bank,,,,
ogaki-kyoritsu-bank,Ogaki Kyoritsu Bank,,,,
gansu-jiu-steel-group-hongxing-iron-&-steel,Gansu Jiu Steel Group Hongxing Iron & Steel,Gansu Jiu Steel,,,
gansu-jiu-steel,,,,,
realogy-holdings,Realogy Holdings,Realogy,,,
realogy,,,,,
daishi-bank,Daishi Bank,,,,
kansas-city-southern,Kansas City Southern,,,,
alinma-bank,Alinma Bank,,,,
shiga-bank,Shiga Bank,,,,
suruga-bank,Suruga Bank,,,,
royal-boskalis,Royal Boskalis,,,,
sqm,SQM,,,,
toho-bank,Toho Bank,,,,
aboitiz-equity-ventures,Aboitiz Equity Ventures,Aboitiz,,,
aboitiz,,,,,
mccormick-&-co,McCormick & Co,Mccormick&Co,,,
mccormick&co,,,,,
jabil-circuit,Jabil Circuit,,,,
dick's-sporting-goods,Dick's Sporting Goods,Dicks Sporting Goods,,,
dicks-sporting-goods,,,,,
murphy-usa,Murphy USA,,,,
varian-medical-systems,Varian Medical Systems,,,,
hainan-airlines,Hainan Airlines,,,,
meadwestvaco,MeadWestvaco,,,,
banca-popolare-di-sondrio,Banca Popolare di Sondrio,,,,
honbridge-holdings,Honbridge Holdings,Honbridge,,,
honbridge,,,,,
umicore,Umicore,,,,
abu-dhabi-islamic-bank,Abu Dhabi Islamic Bank,,,,
verisign,VeriSign,,,,
great-wall-technology,Great Wall Technology,,,,
cvr-energy,CVR Energy,,,,
hellenic-petroleum,Hellenic Petroleum,,,,
balfour-beatty,Balfour Beatty,,,,
bilfinger,Bilfinger,,,,
monster-beverage,Monster Beverage,,,,
sparebank-1-sr-bank,SpareBank 1 SR-Bank,,,,
taiwan-business-bank,Taiwan Business Bank,,,,
indian-overseas-bank,Indian Overseas Bank,,,,
nine-entertainment-co.-holdings-pty,Nine Entertainment Co. Holdings Pty,Nine Entertainment Co,,,
nine-entertainment-co,,,,,
chinese-estates,Chinese Estates,,,,
basler-kantonalbank,Basler Kantonalbank,,,,
commercial-international-bank,Commercial International Bank,,,,
east-west-bancorp,East West Bancorp,,,,
gannett,Gannett,,,,
credito-emiliano,Credito Emiliano,,,,
illumina,Illumina,,,,
nelnet,Nelnet,,,,
svb-financial-group,SVB Financial Group,Svb Financial,,,
svb-financial,,,,,
church-&-dwight,Church & Dwight,Church&Dwight,,,
church&dwight,,,,,
lg-uplus,LG Uplus,,,,
credit-saison,Credit Saison,,,,
mercuries-&-associates,Mercuries & Associates,Mercuries&Associates,,,
mercuries&associates,,,,,
guangzhou-automobile-group-co.-ltd.,Guangzhou Automobile Group Co. Ltd.,Guangzhou Automobile Group,,,
guangzhou-automobile-group,,,,,
hysan-development,Hysan Development,,,,
maxim-integrated-products,Maxim Integrated Products,,,,
agl-resources,AGL Resources,,,,
supervalu,Supervalu,,,,
avon-products,Avon Products,Avon,,,
avon,,,,,
ow-bunker,OW Bunker,,,,
airgas,Airgas,,,,
herbalife,Herbalife,,,,
tokyo-electron,Tokyo Electron,,,,
shanghai-material-trading,Shanghai Material Trading,,,,
gamestop-corp.,GameStop Corp.,Gamestop,,,
gamestop,,,,,
higo-bank,Higo Bank,,,,
ugi,UGI,,,,
tullow-oil,Tullow Oil,,,,
saudi-investment-bank,Saudi Investment Bank,,,,
millicom-international,Millicom International,,,,
tauron-group,Tauron Group,,,,
hanwa,Hanwa,,,,
san-in-godo-bank,San-In Godo Bank,,,,
ecobank-transnational-incorporated,Ecobank Transnational Incorporated,Ecobank Transnational,,,
ecobank-transnational,,,,,
kaisa-group-holdings,Kaisa Group Holdings,Kaisa Group,,,
kaisa-group,,,,,
hunan-valin-steel,Hunan Valin Steel,,,,
hyakujushi-bank,Hyakujushi Bank,,,,
intouch-holdings,Intouch Holdings,,,,
arkema,Arkema,,,,
keiyo-bank,Keiyo Bank,,,,
outokumpu,Outokumpu,,,,
polaris-industries,Polaris Industries,,,,
citrix-systems,Citrix Systems,,,,
aurubis,Aurubis,,,,
tasnee,Tasnee,,,,
china-aviation-oil,China Aviation Oil,,,,
musashino-bank,Musashino Bank,,,,
ruentex-development,Ruentex Development,,,,
rmb-holdings,RMB Holdings,,,,
hokkaido-electric-power,Hokkaido Electric Power,,,,
nasdaq-omx-group,NASDAQ OMX Group,Nasdaq Omx,,,
nasdaq-omx,,,,,
bank-of-queensland,Bank of Queensland,,,,
interactive-brokers-group,Interactive Brokers Group,,,,
yunnan-baiyao-group,Yunnan Baiyao Group,,,,
cablevision-systems-corporation,Cablevision Systems Corporation,,,,
cheniere-energy,Cheniere Energy,,,,
allahabad-bank,Allahabad Bank,,,,
cabot-oil-&-gas,Cabot Oil & Gas,Cabot Oil&Gas,,,
cabot-oil&gas,,,,,
netdragon-websoft,NetDragon Websoft,,,,
doha-bank,Doha Bank,,,,
kagoshima-bank,Kagoshima Bank,,,,
inchcape,Inchcape,,,,
grupo-argos,Grupo Argos,,,,
gemalto,Gemalto,,,,
credito-valtellinese,Credito Valtellinese,,,,
"workday,-inc.","Workday, Inc.",Workday Inc,,,
workday-inc,,,,,
erie-indemnity,Erie Indemnity,,,,
wing-hang-bank,Wing Hang Bank,,,,
verisk-analytics,Verisk Analytics,,,,
inventec,Inventec,,,,
saras,Saras,,,,
japan-exchange-group,Japan Exchange Group,,,,
b/e-aerospace,B/E Aerospace,,,,
dean-foods,Dean Foods,,,,
sonae-sgps,Sonae SGPS,,,,
penske-automotive,Penske Automotive,,,,
empresa-de-energia-de-bogota,Empresa de Energia de Bogota,,,,
weg,WEG,,,,
hyprop-investments,Hyprop Investments,,,,
antero-resources,Antero Resources,,,,
dgb-financial-group,DGB Financial Group,Dgb Financial,,,
dgb-financial,,,,,
guangdong-investment,Guangdong Investment,,,,
vertex-pharmaceuticals,Vertex Pharmaceuticals,,,,
parmalat,Parmalat,,,,
inner-mongolia-baotou-steel,Inner Mongolia Baotou Steel,,,,
pou-chen,Pou Chen,,,,
pandora,Pandora,,,,
banque-centrale-populaire,Banque Centrale Populaire,,,,
meritz-financial-group,Meritz Financial Group,Meritz Financial,,,
meritz-financial,,,,,
peabody-energy,Peabody Energy,,,,
president-chain-store,President Chain Store,,,,
lkq,LKQ,,,,
gs-engineering,GS Engineering,,,,
lawson,Lawson,,,,
shimano,Shimano,,,,
japan-securities,Japan Securities,,,,
eutelsat-communications,Eutelsat Communications,,,,
ikb-deutsche,IKB Deutsche,,,,
whiting-petroleum,Whiting Petroleum,,,,
denbury-resources,Denbury Resources,,,,
catlin-group,Catlin Group,,,,
vietin-bank,Vietin Bank,,,,
concho-resources,Concho Resources,,,,
signet-jewelers,Signet Jewelers,,,,
king-digital-entertainment,King Digital Entertainment,King Digital,,,
king-digital,,,,,
uco-bank,UCO Bank,,,,
gungho-online-entertainment,Gungho Online Entertainment,,,,
oge-energy,OGE Energy,,,,
tpk-holding,TPK Holding,,,,
people's-united-financial,People's United Financial,,,,
tsingtao-brewery,Tsingtao Brewery,,,,
wpg-holdings,WPG Holdings,Wpg,,,
wpg,,,,,
yuexiu-property-co.,Yuexiu Property Co.,Yuexiu Property,,,
yuexiu-property,,,,,
shiseido,Shiseido,,,,
first-pacific,First Pacific,,,,
carefusion,CareFusion,,,,
hokkoku-bank,Hokkoku Bank,,,,
