URL TERMS,COMPANY NAMES,SYNOMYM 1,SYNOMYM 2,SYNOMYM 3,SYNOMYM 4
walgreen,Walgreen,,,,
kddi,KDDI,,,,
valero-energy,Valero Energy,Valero,,,
ptt-pcl,PTT PCL,,,,
travelers-cos,Travelers Cos,,,,
canadian-imperial-bank,Canadian Imperial Bank,,,,
astrazeneca,AstraZeneca,,,,
deere-&-co,Deere & Co,,,,
deere&co,,,,,
union-pacific,Union Pacific,,,,
mcdonald's,McDonald's,,,,
mcdonalds,,,,,
mc-donalds,,,,,
mc-donald's,,,,,
wellpoint,WellPoint,,,,
aflac,Aflac,,,,
tokio-marine-holdings,Tokio Marine Holdings,Tokio Marine,,,
taiwan-semiconductor,Taiwan Semiconductor,,,,
legal-&-general-group,Legal & General Group,Legal & General,,,
legal&general-group,,,,,
legal-and-general,,,,,
christian-dior,Christian Dior,,,,
dior,,,,,
china-unicom,China Unicom,,,,
3m,3M,,,,
allstate,Allstate,,,,
schneider-electric,Schneider Electric,Schneider,,,
dnb,DNB,,,,
lockheed-martin,Lockheed Martin,Lockheed,,,
lockheed,,,,,
surgutneftegas,Surgutneftegas,,,,
denso,Denso,,,,
nomura-holdings,Nomura Holdings,Nomura,,,
nippon-steel-&-sumitomo-metal,Nippon Steel & Sumitomo Metal,,,,
nippon-steel&sumitomo-metal,,,,,
wesfarmers,Wesfarmers,,,,
china-everbright-bank,China Everbright Bank,,,,
sap,SAP,,,,
jardine-matheson,Jardine Matheson,,,,
japan-tobacco,Japan Tobacco,,,,
bg-group,BG Group,BG,,,
itochu,Itochu,,,,
carrefour,Carrefour,,,,
sabmiller,SABMiller,,,,
bank-of-new-york-mellon,Bank of New York Mellon,BNY,,,
bny-mellon,,,,,
continental,Continental,,,,
emc,EMC,,,,
costco-wholesale,Costco Wholesale,Costco,,,
costco,,,,,
bt-group,BT Group,,,,
eli-lilly-&-co,Eli Lilly & Co,,,,
eli-lilly&co,,,,,
seven-&-i-holdings,Seven & I Holdings,Seven & I,,,
seven&i-holdings,,,,,
seven&i,,,,,
canon,Canon,,,,
lowe's-cos,Lowe's Cos,,,,
china-state-construction,China State Construction,,,,
freeport-mcmoran-copper,Freeport-McMoRan Copper,Freeport-McMoRan,,,
freeport-mcmoran,,,,,
telstra,Telstra,,,,
lyondellbasell-industries,LyondellBasell Industries,LyondellBasell,,,
lyondellbasell,,,,,
china-pacific-insurance,China Pacific Insurance,China Pacific,,,
diageo,Diageo,,,,
abbott-laboratories,Abbott Laboratories,Abbott,,,
abbott,,,,,
gas-natural-fenosa,Gas Natural Fenosa,,,,
danske-bank,Danske Bank,,,,
aetna,Aetna,,,,
sony,Sony,,,,
aegon,Aegon,,,,
ericsson,Ericsson,,,,
posco,Posco,,,,
east-japan-railway,East Japan Railway,,,,
brookfield-asset-management,Brookfield Asset Management,Brookfield,,,
brookfield,,,,,
altria-group,Altria Group,Altria,,,
altria,,,,,
blackrock,BlackRock,,,,
exelon,Exelon,,,,
danone,Danone,,,,
archer-daniels-midland,Archer Daniels Midland,,,,
mckesson,McKesson,,,,
heineken-holding,Heineken Holding,Heineken,,,
heineken,,,,,
panasonic,Panasonic,,,,
hess,Hess,,,,
people's-insurance-company,People's Insurance Company,,,,
shinhan-financial-group,Shinhan Financial Group,,,,
ebay,eBay,,,,
natixis,Natixis,,,,
time-warner-cable,Time Warner Cable,Time Warner,,,
time-warner,,,,,
general-dynamics,General Dynamics,,,,
abbvie,AbbVie,,,,
medtronic,Medtronic,,,,
exor,EXOR,,,,
bristol-myers-squibb,Bristol-Myers Squibb,Bristol-Myers,Bristol Myers,,
bristol-myers,,,,,
kia-motors,KIA Motors,KIA,,,
kia,,,,,
seb,SEB,,,,
kbc-group,KBC Group,KBC,,,
kbc,,,,,
fedex,FedEx,,,,
renault,Renault,,,,
vtb-bank,VTB Bank,VTB,,,
vtb,,,,,
sumitomo-corp,Sumitomo Corp,Sumitomo Corporation,,,
sumitomo-corporation,,,,,
cnp-assurances,CNP Assurances,CNP,,,
ms&ad-insurance,MS&AD Insurance,MS&AD,MS & AD,,
ms&ad,,,,,
hyundai-mobis,Hyundai Mobis,,,,
halliburton,Halliburton,,,,
danaher,Danaher,,,,
apache,Apache,,,,
sun-life-financial,Sun Life Financial,Sun Life,,,
marathon-petroleum,Marathon Petroleum,,,,
southern-co,Southern Co,Southern Co.,,,
ping-an-bank,Ping An Bank,Ping An,,,
linde,Linde,,,,
nextera-energy,NextEra Energy,Nextera,,,
nextera,,,,,
saint-gobain,Saint-Gobain,Saint Gobain,St. Gobain,,
canadian-natural-resources,Canadian Natural Resources,,,,
transneft,Transneft,,,,
visa,Visa,,,,
rolls-royce-holdings,Rolls-Royce Holdings,Rolls Royce,,,
jx-holdings,JX Holdings,JX,,,
imperial-tobacco-group,Imperial Tobacco Group,Imperial Tobacco,,,
woolworths,Woolworths,,,,
bridgestone,Bridgestone,,,,
cigna,Cigna,,,,
standard-bank-group,Standard Bank Group,Standard Bank,,,
dbs-group,DBS Group,DBS,,,
dbs,,,,,
svenska-handelsbanken,Svenska Handelsbanken,,,,
bce,BCE,,,,
centrica,Centrica,,,,
national-oilwell-varco,National Oilwell Varco,,,,
air-liquide,Air Liquide,,,,
teva-pharmaceutical-inds,Teva Pharmaceutical Inds,Teva Pharmaceutical,,,
old-mutual,Old Mutual,,,,
philips,Philips,,,,
swedbank,Swedbank,,,,
oversea-chinese-banking,Oversea-Chinese Banking,,,,
eaton,Eaton,,,,
directv,Directv,,,,
dai-ichi-life-insurance,Dai-ichi Life Insurance,Dai-ichi,,,
dai-ichi,,,,,
marubeni,Marubeni,,,,
fresenius,Fresenius,,,,
icici-bank,ICICI Bank,ICICI,,,
icici,,,,,
china-vanke,China Vanke,,,,
china-communications-construction,China Communications Construction,,,,
state-street,State Street,,,,
central-japan-railway,Central Japan Railway,,,,
kroger,Kroger,,,,
johnson-controls,Johnson Controls,,,,
china-railway-construction,China Railway Construction,,,,
henkel,Henkel,,,,
inditex,Inditex,,,,
emerson-electric,Emerson Electric,Emerson,,,
emerson,,,,,
husky-energy,Husky Energy,,,,
wilmar-international,Wilmar International,,,,
teliasonera,Teliasonera,,,,
dominion-resources,Dominion Resources,,,,
bb&t,BB&T,,,,
china-railway-group,China Railway Group,,,,
sasol,Sasol,,,,
nike,NIKE,,,,
kinder-morgan,Kinder Morgan,,,,
singtel,SingTel,,,,
caixabank,CaixaBank,,,,
omv-group,OMV Group,OMV,,,
omv,,,,,
maybank,Maybank,,,,
holcim,Holcim,,,,
reckitt-benckiser-group,Reckitt Benckiser Group,Reckitt Benckiser,,,
reckitt-benckiser,,,,,
telenor,Telenor,,,,
eog-resources,EOG Resources,EOG,,,
tata-motors,Tata Motors,Tata,,,
power-corp-of-canada,Power Corp of Canada,,,,
monsanto,Monsanto,,,,
raytheon,Raytheon,,,,
sse,SSE,,,,
mitsubishi-heavy-industries,Mitsubishi Heavy Industries,,,,
chubb,Chubb,,,,
accenture,Accenture,,,,
mitsubishi-electric,Mitsubishi Electric,,,,
american-electric,American Electric,,,,
hca-holdings,HCA Holdings,HCA,,,
hca,,,,,
standard-life,Standard Life,,,,
enbridge,Enbridge,,,,
northrop-grumman,Northrop Grumman,,,,
wpp,WPP,,,,
kraft-foods-group,Kraft Foods Group,Kraft Foods,,,
kraft-foods,,,,,
takeda-pharmaceutical,Takeda Pharmaceutical,Takeda,,,
takeda,,,,,
discover-financial-services,Discover Financial Services,,,,
edp-energias-de-portugal,EDP-Energias de Portugal,EDP,Energias de Portugal,,
edp,,,,,
volvo-group,Volvo Group,Volvo,,,
volvo,,,,,
sumitomo-mitsui-trust,Sumitomo Mitsui Trust,,,,
fannie-mae,Fannie Mae,,,,
samsung-life-insurance,Samsung Life Insurance,,,,
las-vegas-sands,Las Vegas Sands,,,,
baxter-international,Baxter International,,,,
michelin-group,Michelin Group,Michelin,,,
michelin,,,,,
anadarko-petroleum,Anadarko Petroleum,Anadarko,,,
anadarko,,,,,
sun-hung-kai-properties,Sun Hung Kai Properties,Sun Hung Kai,,,
